상품코드,대상도시,상품형태,상품명,리뷰ID,작성자,평점,내용,작성일,동행,공감수,옵션정보,연령대,리뷰요약1,리뷰요약2,리뷰요약3,리뷰요약4,리뷰요약5
MAV1044,다낭,패키지,다낭 5일 #베이캐피탈 #신규오픈5성 #바나힐 테마파크 #호이안 야경투어 #스톤마사지 #다낭타워 씨푸드 #미니바3회,251234,tpd*****,5,하나투어로 선택하길 너무잘했어요 신상호텔부터  투어일정까지 군더더기없이 다낭과 호이안을 알차게 여행하기에 너무좋았어요  용덕가이드님과 로컬가이드님  너무너무최고!!!!감사드려요!!!  같은일정으로  또 가고싶을만큼 너무행복했습니다❤️🩷🧡💛💚💙🩵💜,2024.08.02,커플여행,0,,30,객실이 깨끗해요, 현지 음식이 맛있어요, 가이드가 전문적이에요, 즐길 거리가 다양해요, 일정이 알차요
MAV1044,다낭,패키지,다낭 5일 #크라운 플라자 #프리미어 시티뷰 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,251152,lej********,5,"부모님과 저희 자매들이 함께한 여행 이었습니다
출발전부터 걱정이 너무 많았는데 도착하는 순간부터 모든 걱정을 다 내려 놓았습니다
오전엔 식사하고 수영도 하고 바닷가도 거닐고
가족끼리 즐겁게 보내고 투어할땐 설명도 잘해주시고 불편함이라곤 찾아볼수 없을 정도로 세심하게 부모님도 잘 챙겨주시고 걱정해 주시고 이상규팀장님괴 응옥 
현지 가이드님 정말 감사드려요 다낭여행 가시는 모든 분들께 소개 시켜드리고  싶어요~지금까지 여행 다니면서 만났던 가이드님중에 최고였어요
모든 일정중에 어느것 하나 소홀히 하지 않으시고 
언제나 최선을 다해 주셔서 힘들지 않고 즐거운 여행 
만들어 주셔서 감사드립니다  부모님도
엄청 좋아하셨어요",2024.08.01,가족여행,0,,50,호텔이 시내에 있어요, 일정이 알차요, 현지 음식이 맛있어요, 가격만큼 가치 있어요, 가이드가 배려 깊고 세심해요
MAV1044,다낭,패키지,[출발확정] 다낭 6일 #보코 #신규오픈5성 #바나힐 테마파크 #호이안 #스톤마사지 #다낭타워 씨푸드,250704,j6j**,3,선택 관광중에 야간시티투어는 없으면해요 매연때문에 괴로워서 힘들었어요,2024.07.27,친구모임,1,,60,객실이 깨끗해요, 객실 뷰가 좋아요, 가격이 합리적이에요, 현지 음식이 다양해요, 일정이 여유로워요
MAV1044,다낭,패키지,다낭 5일 #힐튼 #월드체인5성 #바나힐 테마파크 #호이안 야경투어 #스톤마사지 #다낭타워 씨푸드 ,250607,prp****,4,여행도 알차고  식사도 매우  만족 스러웠습니다  특히 가이드  해주신 유정균 님이  넘 좋으셨어요 항상 웃으시면서   불편한 점이  없나  물어보고 살펴보시고  여러군데 여행을 다녀 봤지만  넘버원이었습니다  하지만  불편한점이 하나 있었는데 호텔 이었습니다  돌아오는날  까지 청소한번 해주지 않았습니다  타월과물은 프론트에서   직접받아서   사용했습니다,2024.07.26,가족여행,0,,50,일정이 알차요, 현지 음식이 다양해요, 가격만큼 가치 있어요, 가이드가 전문적이에요, 가이드가 배려 깊고 세심해요
MAV1044,다낭,패키지,다낭 5일 #크라운 플라자 #프리미어 시티뷰 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,250422,man******,4,"3박5일이지만 첫날 마지막날빼고 2일동안 빡시게 도는관광이엇다. 자유시간도 짧아서 사진찍구 음료수한잔 사먹을시간도 없이 촉박하게 !
원치않는 선택관광 하고 고가의 침향등 쇼핑3회
지겹게 왜 듣구잇어야하는지 짜증. 마지막날은 쇼핑으로  시간낭비.  그시간에 내가 사고싶은거 사러가고싶은데 못가구ㅜ
패키지여행중 젤 쇼핑도 많앗고  선택관광도 5개나 강요
가이드발 최악이엇음
담엔 자유여행을 가야겟단생각 
마사지와 호텔과 수영장이랑 루프탑 바만 조앗음",2024.07.24,커플여행,0,,50,객실이 깨끗해요, 호텔 부대시설이 좋아요, 호텔에서 쉬기 좋아요,,
MAV1044,다낭,패키지,[부산출발] 다낭 4일 #미카즈키 #디럭스 오션뷰 #워터파크 #온천 #바나힐 테마파크 #호이안 #스톤마사지,250379,jaehui0925,5,또다시 가고싶은 곳이었어요 ,2024.07.23,친구모임,0,,40,객실이 깨끗해요, 일정이 알차요, 현지 음식이 다양해요, 가격이 합리적이에요, 가이드가 전문적이에요
MAV1044,다낭,패키지,[출발확정][청주출발] 다낭 5일 #보코 #신규오픈5성 #바나힐 테마파크 #호이안 #스톤마사지 #다낭타워 씨푸드,250361,gwl******,5,"아이가 7살이라 초등학교입학전에 한번 다녀와야겟다해서 베트남 다낭패키지여행다녀왓는데 
아이가너무좋아해서 좋았어요
바나힐테마파크도 좋았고 야경투어도좋았습니다.
다만 베트남특성상 오토바이도많고 시장은 
한국시장이랑다르게 선뜻 음식을 못사먹겠는점은
아쉬웟지만 전반적으로 만족합니다.",2024.07.23,가족여행,0,"호이안 바구니배 체험,호이안 야경투어,호이안 씨클로",30,일정이 알차요, 식당이 청결해요, 호텔이 시내에 있어요, 가격이 합리적이에요, 가이드가 배려 깊고 세심해요
MAV1044,다낭,패키지,다낭 5일 #크라운 플라자 #프리미어 시티뷰 #바나힐 테마파크 #호이안 #루프탑바 #스톤마사지,249997,bob*****,5,"추천합니다.
 하나투어 가이드 이경아 부장님을 만나게 돼요.
 행운이었습니다.  감사합니다.^^~",2024.07.18,가족여행,0,,40,객실이 깨끗해요, 일정이 알차요, 현지 음식이 맛있어요, 가격이 합리적이에요, 가이드가 전문적이에요
MAV1044,다낭,패키지,[부산출발] 다낭 5일 #미카즈키 #디럭스 오션뷰 #워터파크 #온천 #바나힐 테마파크 #호이안 #스톤마사지,249776,JJJ,5,"전반적인 여행일정도 좋았지만
박부장님 (우리 가이드님) 최고!!  
세심,배려.열정.재미.위트넘치는 설명
몇번의 패키지여행 경험이 있는데
이번이 단연 최고였어요!!
여행내내 유쾌하고 매순간  만족스러웠답니다
다음 여행도 하나투어와 함께!!
매력터지는 박부장님과  뽀식이삼촌과 함께!!",2024.07.15,가족여행,0,"호이안 바구니배 체험,호이안 야경투어,호이안 씨클로",50,호텔 부대시설이 좋아요, 일정이 알차요, 현지 음식이 다양해요, 가격이 합리적이에요, 가이드가 배려 깊고 세심해요
MAV1044,다낭,패키지,다낭 5일 #크라운 플라자 #프리미어 시티뷰 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,249562,wej****,5,"많은 패키지여행을 다녀 봤지만 가이드님들 덕분에 더욱 가장 즐거운 여행이 되었습니다. 작은 부분 하나하나 세심하게 신경 써주시고 시간조절도 잘 해 주셔서 기다리지 않고 모든 일정을 잘 즐겼네요. 무엇보다 가족처럼 신경 써 주시는 모습에 감동 또 감동했습니다. 패키지여행을 다녀보면 가이드분들 때문에 여행을 망치는 여행이 종종 있었는데 권이안가이드님과 꾸이가이드님 덕분에 여행 후에도 즐거움이 많이 기억되고 많은 여운이 남네요. 처음보다 다낭을 떠날 때 공항에서 마지막까지 신경써 주시는 모습에 이런 가이드님이 계시는구나 하는 생각이 들더라구요. 권이안 가이드님은 처음보다 마지막이 더 멋진 분이셨고 저희 가족에서 멋진 추억을 만들어 주신 분이셨어요. 다른 어떤 비싼 패키지보다 가장 최고였답니다. 이제는 하나투어로 여행해야 겠어요. 
권이안가이님때문에 하나투어를 다시금 살펴보게 되네요. 꾸이가이드님도 짱이요^^
 ",2024.07.12,가족여행,0,,50,호텔 부대시설이 좋아요, 일정이 알차요, 가이드가 배려 깊고 세심해요, 가이드가 열정적이에요, 식당이 청결해요
