연도,월,지역,국가,관광객수
2008,7,미주,도미니카공화국,200
2008,7,미주,자메이카,32
2008,7,미주,칠레,519
2008,7,미주,코스타리카,245
2008,8,미주,미국,92204
2008,8,미주,캐나다,25444
2008,8,미주,브라질,4011
2008,8,미주,도미니카공화국,208
2008,8,미주,자메이카,13
2008,8,미주,칠레,539
2008,8,미주,코스타리카,243
2008,9,미주,미국,55821
2008,9,미주,캐나다,19202
2008,9,미주,브라질,2905
2008,9,미주,도미니카공화국,64
2008,9,미주,자메이카,10
2008,9,미주,칠레,422
2008,9,미주,코스타리카,154
2008,10,미주,미국,47761
2008,10,미주,캐나다,12228
2008,10,미주,브라질,2909
2008,10,미주,도미니카공화국,122
2008,10,미주,자메이카,4
2008,10,미주,칠레,552
2008,10,미주,코스타리카,172
2008,11,미주,미국,39334
2008,11,미주,캐나다,7452
2008,11,미주,브라질,3166
2008,11,미주,도미니카공화국,158
2008,11,미주,자메이카,8
2008,11,미주,칠레,546
2008,11,미주,코스타리카,155
2008,12,미주,미국,51434
2008,12,미주,캐나다,10394
2008,12,미주,브라질,2251
2008,12,미주,도미니카공화국,127
2008,12,미주,자메이카,9
2008,12,미주,칠레,397
2008,12,미주,코스타리카,260
2009,1,미주,미국,70458
2009,1,미주,캐나다,10962
2009,1,미주,브라질,1887
2009,1,미주,도미니카공화국,215
2009,1,미주,자메이카,44
2009,1,미주,과테말라,1032
2009,1,미주,칠레,910
2009,1,미주,코스타리카,260
2009,1,미주,페루,6158
2009,2,미주,미국,43090
2009,2,미주,캐나다,7785
2009,2,미주,브라질,1997
2009,2,미주,도미니카공화국,104
2009,2,미주,자메이카,33
2009,2,미주,과테말라,718
2009,2,미주,칠레,670
2009,2,미주,코스타리카,189
2009,3,미주,미국,46689
2009,3,미주,캐나다,9649
2009,3,미주,브라질,2193
2009,3,미주,도미니카공화국,175
2009,3,미주,자메이카,23
2009,3,미주,과테말라,801
2009,3,미주,칠레,594
2009,3,미주,코스타리카,216
2009,4,미주,미국,47658
2009,4,미주,캐나다,9023
2009,4,미주,브라질,1677
2009,4,미주,도미니카공화국,176
2009,4,미주,자메이카,11
2009,4,미주,과테말라,983
2009,4,미주,칠레,508
2009,4,미주,코스타리카,227
2009,5,미주,미국,54656
2009,5,미주,캐나다,11749
2009,5,미주,브라질,1572
2009,5,미주,도미니카공화국,164
2009,5,미주,자메이카,31
2009,5,미주,과테말라,683
2009,5,미주,칠레,436
2009,5,미주,코스타리카,200
2009,6,미주,미국,63507
2009,6,미주,캐나다,15442
2009,6,미주,브라질,1804
2009,6,미주,도미니카공화국,197
2009,6,미주,자메이카,20
2009,6,미주,과테말라,699
2009,6,미주,칠레,382
2009,6,미주,코스타리카,185
2009,7,미주,미국,89451
2009,7,미주,캐나다,22944
2009,7,미주,브라질,2089
2009,7,미주,도미니카공화국,189
2009,7,미주,자메이카,27
2009,7,미주,과테말라,654
2009,7,미주,칠레,438
2009,7,미주,코스타리카,271
2009,8,미주,미국,88749
2009,8,미주,캐나다,16546
2009,8,미주,브라질,2161
2009,8,미주,도미니카공화국,208
2009,8,미주,자메이카,18
2009,8,미주,과테말라,957
2009,8,미주,칠레,426
2009,8,미주,코스타리카,268
2009,9,미주,미국,56147
2009,9,미주,캐나다,13465
2009,9,미주,브라질,2105
2009,9,미주,도미니카공화국,134
2009,9,미주,자메이카,31
2009,9,미주,과테말라,737
2009,9,미주,칠레,431
