대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD29AE5OGHU,MHJ-PRD29AE5OGHU,상시,상시,정보없음(항공불포함),39400,39400,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 센토사 스카이라인 루지 & 스카이라이드 티켓,,0
MHJ-PRD275C5Q45D,MHJ-PRD275C5Q45D,상시,상시,정보없음(항공불포함),107900,107900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 시내중심 핵심코스 시티투어(내셔널갤러리&강변+머라이언공원+하지레인&술탄모스크+부기스+차이나타운),5.0,1
MHJ-PRD0EADEMTUO,MHJ-PRD0EADEMTUO,상시,상시,정보없음(항공불포함),65867,65867,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[즉시확정]해리포터: 비전 오브 매직 입장권 | 싱가포르,,0
MHJ-PRD189D606NG,MHJ-PRD189D606NG,상시,상시,정보없음(항공불포함),66000,66000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 창이공항 라운지 이용권 티켓,4.5,4
MHJ-PRD09D1EYH1C,MHJ-PRD09D1EYH1C,상시,상시,정보없음(항공불포함),630,630,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[싱가포르] 심 여행용 데이터 무제한 eSIM,5.0,1
MHJ-PRD35EFDDXKP,MHJ-PRD35EFDDXKP,상시,상시,정보없음(항공불포함),8718,8718,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[즉시확정][싱가포르] 가든스 바이 더 베이 입장권,5.0,4
MHJ-PRD24EB5SZX7,MHJ-PRD24EB5SZX7,상시,상시,정보없음(항공불포함),98900,98900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 야경투어 끝판왕 (리버크루즈+MBS스펙트라쇼+슈퍼트리가든랩소디쇼+사테거리+루프탑),5.0,7
MHJ-PRD07803GGHQ,MHJ-PRD07803GGHQ,상시,상시,정보없음(항공불포함),7599,7599,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[동남아 이심]말레이시아 싱가포르 태국 이심 eSIM 5G속도 무제한 동남아 e심 해외로밍전화 무료제공,3.0,3
MHJ-PRD27242AFW5,MHJ-PRD27242AFW5,상시,상시,정보없음(항공불포함),4332,4332,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[싱가포르] 와이파이도시락 무제한 데이터 포켓와이파이 대여 4GLTE 해외로밍전화 무료,,0
MHJ-PRD46FA5UDDW,MHJ-PRD46FA5UDDW,상시,상시,정보없음(항공불포함),46552,46552,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 동물원 입장권,5.0,2
MHJ-PRD09DE6KUSV,MHJ-PRD09DE6KUSV,상시,상시,정보없음(항공불포함),11900,11900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,여행서비스,[싱가포르 말레이시아 전지역] 유심칩 데이터 무제한 인천공항 수령,,0
MHJ-PRD13C1DGYA0,MHJ-PRD13C1DGYA0,상시,상시,정보없음(항공불포함),27718,27718,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[즉시확정][싱가포르] 클락키 리버크루즈 티켓,5.0,1
MHJ-PRD337254FW3,MHJ-PRD337254FW3,상시,상시,정보없음(항공불포함),42687,42687,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 리버사파리 입장권 (리버원더스),5.0,1
MHJ-PRD2C1F5GC8W,MHJ-PRD2C1F5GC8W,상시,상시,정보없음(항공불포함),39282,39282,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 마리나베이 샌즈 스카이파크 전망대 입장권 티켓,5.0,1
MHJ-PRD29AE5CR7Y,MHJ-PRD29AE5CR7Y,상시,상시,정보없음(항공불포함),24018,24018,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 센토사 왕복 케이블카 스카이패스,,0
MHJ-PRD05221QH6K,MHJ-PRD05221QH6K,상시,상시,정보없음(항공불포함),4653,4653,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,레스토랑,[즉시확정][싱가포르] 토스트박스(카야토스트)| 싱텔 SIM 카드 + EZ-link 옵션,4.5,4
MHJ-PRD33915HBZL,MHJ-PRD33915HBZL,상시,상시,정보없음(항공불포함),116553,116553,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 센토사섬 핵심투어!! (케이블카+실로소포트&스카이워크+아시아대륙 땅끝+루지/해변),5.0,2
MHJ-PRD226E1LHC3,MHJ-PRD226E1LHC3,상시,상시,정보없음(항공불포함),93844,93844,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 유니버셜 스튜디오 익스프레스 패스,,0
MHJ-PRD31079SVJ4,MHJ-PRD31079SVJ4,상시,상시,정보없음(항공불포함),0,0,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,레스토랑,[싱가포르 추천 맛집] 현지인이 사랑하는 수제 딤섬 맛집. 섬딤섬 (Sum Dim Sum) 10% 할인쿠폰,5.0,2
MHJ-PRD24EB5F3CH,MHJ-PRD24EB5F3CH,상시,상시,정보없음(항공불포함),103593,103593,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,트립,[싱가포르] 먹방+야경투어 (송파바쿠테+타이거맥주+리버크루즈+스펙트라쇼+슈퍼트리가든랩소디쇼),5.0,1
MHJ-PRD1D7F9HHSH,MHJ-PRD1D7F9HHSH,상시,상시,정보없음(항공불포함),4686,4686,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 센토사 익스프레스 이용권,5.0,1
MHJ-PRD2C3E91CDB,MHJ-PRD2C3E91CDB,상시,상시,정보없음(항공불포함),70000,70000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,레스토랑,[싱가포르] 만다린오리엔탈 호텔 런치 뷔페 사용권,5.0,3
MHJ-PRD46FA50ZRH,MHJ-PRD46FA50ZRH,상시,상시,정보없음(항공불포함),44904,44904,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 덕투어(DUCK TOURS),,0
MHJ-PRD0ED99NHW4,MHJ-PRD0ED99NHW4,상시,상시,정보없음(항공불포함),8526,8526,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 내셔널 오키드 가든 입장권 (보타닉가든 內),5.0,1
MHJ-PRD223C1PVMH,MHJ-PRD223C1PVMH,상시,상시,정보없음(항공불포함),47348,47348,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 버드 파라다이스 입장권 (트램 포함),,0
MHJ-PRD44895WQVA,MHJ-PRD44895WQVA,상시,상시,정보없음(항공불포함),53430,53430,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[싱가포르] 싱가포르 오셔너리움 입장권,,0
MHJ-PRD05221ZLBS,MHJ-PRD05221ZLBS,상시,상시,정보없음(항공불포함),11851,11851,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,싱가포르,입장권/패스,[즉시확정][싱가포르] 이지링크 카드 & 투어리스트 패스 플러스,,0
