대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD1D85D7BN0,MHJ-PRD1D85D7BN0,상시,상시,정보없음(항공불포함),10313,10313,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[즉시확정][나트랑] 빈펄 하버 나트랑 입장권,5.0,1
MHJ-PRD226DEFFH4,MHJ-PRD226DEFFH4,상시,상시,정보없음(항공불포함),28775,28775,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[잘오고놀자] 나트랑 공항픽업 & 굿모닝투어 (오전도착 항공편),,0
MHJ-PRD46F3EGOCH,MHJ-PRD46F3EGOCH,상시,상시,정보없음(항공불포함),111780,111780,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,페리,[나트랑] 엠페러 데이크루즈 투어_#럭셔리크루즈여행+#픽드랍포함,,0
MHJ-PRD35E32S5HR,MHJ-PRD35E32S5HR,상시,상시,정보없음(항공불포함),105840,105840,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,렌터카,[나트랑] 승용차 렌트카_#단독차량1대+#기사포함+#1인부터4인까지,,0
MHJ-PRD3365DCS0U,MHJ-PRD3365DCS0U,상시,상시,정보없음(항공불포함),7526,7526,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,여행서비스,[나트랑] 공항 패스트트랙_#빠른공항수속,,0
MHJ-PRD1D9879O7N,MHJ-PRD1D9879O7N,상시,상시,정보없음(항공불포함),69012,69012,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 나트랑 올데이투어 시티투어 담시장 롱선사 렌트카 가이드,,0
MHJ-PRD449BEXPRA,MHJ-PRD449BEXPRA,상시,상시,정보없음(항공불포함),140400,140400,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑->달랏]달랏 일일 투어_#조인투어+#달랏당일투어,,0
MHJ-PRD0A103AY7E,MHJ-PRD0A103AY7E,상시,상시,정보없음(항공불포함),49512,49512,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 탑바 머드 & 온천 투어 (제일 진한 머드 온천장),,0
MHJ-PRD44A1FWBKF,MHJ-PRD44A1FWBKF,상시,상시,정보없음(항공불포함),94900,94900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[잘놀고즐기자] 나트랑 크레이지 파티 호핑투어 (한국인전용/무제한음료/간식제공/스타인월드),,0
MHJ-PRD38733MXOY,MHJ-PRD38733MXOY,상시,상시,정보없음(항공불포함),89900,89900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 엠페러 황제 디너 크루즈 (나트랑시내 픽드랍. 무제한 주류 음료 핑거푸드 포함),,0
MHJ-PRD22424D1OA,MHJ-PRD22424D1OA,상시,상시,정보없음(항공불포함),29667,29667,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 케이스파 (K) 마사지 (핫스톤.스페셜마사지),,0
